Date,Coffee Name,Time,Quantity (cups)
2/8/16,Coffee Traders Latte,6:55 AM,3
2/8/16,Starbucks House Coffee,9:35 AM,1
2/8/16,Bagel Street Cafe Coffee,2:34 PM,1
2/9/16,Homemade Coffee,7:05 AM,1
2/10/16,Homemade Coffee,7:15 AM,2
2/11/16,Homemade Coffee,6:58 AM,2
2/11/16,Peet’s Coffee,8:46 PM,1
2/12/16,Homemade Coffee,7:02 AM,2
2/12/16,High Brew Cold Brew Coffee,6:01 PM,1
2/13/16,Homemade Coffee,10:27 AM,1
2/13/16,Stumptown Nitro Cold Brew,12:16 PM,1
2/14/16,Starbucks House Coffee,9:03 AM,1
2/14/16,Stumptown Cold Brew,2:43 PM,1
2/14/16,Starbucks Decaf Americano,9:30 PM,1
2/15/16,Coffee Traders Latte,12:22 PM,3
2/15/16,Peet’s Coffee,4:03 PM,2
2/15/16,Starbucks Decaf Americano,8:50 PM,1
2/16/16,Homemade Coffee,7:07 AM,2
2/16/16,Verve Coffee,10:01 AM,2
2/16/16,Starbucks House Coffee,3:35 PM,1
2/16/16,Starbucks Decaf Americano,4:30 PM,1
